"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
282060,"Kikai","Japan",704,"Subduction zone / Oceanic crust (< 15 km)",27,27
282070,"Ata","Japan",924,"Subduction zone / Continental crust (>25 km)",23,23
282080,"Aira","Japan",1117,"Subduction zone / Continental crust (>25 km)",48,48
282081,"Yonemaru-Sumiyoshiike","Japan",40,"Subduction zone / Continental crust (>25 km)",2,2
282090,"Kirishimayama","Japan",1700,"Subduction zone / Continental crust (>25 km)",78,78
282091,"Fukue","Japan",315,"Subduction zone / Continental crust (>25 km)",1,1
282100,"Unzendake","Japan",1483,"Subduction zone / Continental crust (>25 km)",11,11
282110,"Asosan","Japan",1592,"Subduction zone / Continental crust (>25 km)",172,172
282120,"Kujusan","Japan",1791,"Subduction zone / Continental crust (>25 km)",13,13
282130,"Yufu-Tsurumi","Japan",1584,"Subduction zone / Continental crust (>25 km)",3,3
283001,"Abu","Japan",641,"Subduction zone / Continental crust (>25 km)",1,1
283002,"Sanbesan","Japan",1126,"Subduction zone / Continental crust (>25 km)",3,3
283010,"Izu-Tobu","Japan",1406,"Subduction zone / Continental crust (>25 km)",6,6
283020,"Hakoneyama","Japan",1438,"Subduction zone / Continental crust (>25 km)",8,8
283030,"Fujisan","Japan",3776,"Subduction zone / Continental crust (>25 km)",58,58
283031,"Yokodake","Japan",2480,"Subduction zone / Continental crust (>25 km)",2,2
283040,"Ontakesan","Japan",3067,"Subduction zone / Continental crust (>25 km)",4,4
283050,"Hakusan","Japan",2702,"Subduction zone / Continental crust (>25 km)",20,20
283060,"Norikuradake","Japan",3026,"Subduction zone / Continental crust (>25 km)",3,3
283069,"Akandanayama","Japan",2109,NA,0,0
283070,"Yakedake","Japan",2455,"Subduction zone / Continental crust (>25 km)",38,38
283080,"Midagahara","Japan",2621,"Subduction zone / Continental crust (>25 km)",5,5
283090,"Niigata-Yakeyama","Japan",2400,"Subduction zone / Continental crust (>25 km)",20,20
283100,"Myokosan","Japan",2454,"Subduction zone / Continental crust (>25 km)",10,10
283110,"Asamayama","Japan",2568,"Subduction zone / Continental crust (>25 km)",129,129
283120,"Kusatsu-Shiranesan","Japan",2165,"Subduction zone / Continental crust (>25 km)",28,28
283121,"Shiga","Japan",2041,"Subduction zone / Continental crust (>25 km)",0,0
283122,"Harunasan","Japan",1449,"Subduction zone / Continental crust (>25 km)",3,3
283130,"Akagisan","Japan",1828,"Subduction zone / Continental crust (>25 km)",0,0
283131,"Hiuchigatake","Japan",2356,"Subduction zone / Continental crust (>25 km)",2,2
283140,"Nikko-Shiranesan","Japan",2578,"Subduction zone / Continental crust (>25 km)",11,11
283141,"Nantaisan","Japan",2486,"Subduction zone / Continental crust (>25 km)",1,1
283142,"Omanago Group","Japan",2341,"Subduction zone / Continental crust (>25 km)",1,1
283143,"Takaharayama","Japan",1795,"Subduction zone / Continental crust (>25 km)",1,1
283150,"Nasudake","Japan",1915,"Subduction zone / Continental crust (>25 km)",20,20
283151,"Numazawa","Japan",835,"Subduction zone / Continental crust (>25 km)",1,1
283160,"Bandaisan","Japan",1816,"Subduction zone / Continental crust (>25 km)",11,11
283170,"Adatarayama","Japan",1728,"Subduction zone / Continental crust (>25 km)",12,12
283180,"Azumayama","Japan",1949,"Subduction zone / Continental crust (>25 km)",19,19
283190,"Zaozan [Zaosan]","Japan",1841,"Subduction zone / Continental crust (>25 km)",43,43
283191,"Hijiori","Japan",552,"Subduction zone / Continental crust (>25 km)",0,0
283200,"Naruko","Japan",470,"Subduction zone / Continental crust (>25 km)",5,5
283210,"Kurikomayama","Japan",1627,"Subduction zone / Continental crust (>25 km)",7,7
283220,"Chokaisan","Japan",2236,"Subduction zone / Continental crust (>25 km)",14,14
283230,"Akita-Komagatake","Japan",1637,"Subduction zone / Continental crust (>25 km)",18,18
283240,"Iwatesan","Japan",2038,"Subduction zone / Continental crust (>25 km)",26,26
283250,"Hachimantai","Japan",1613,"Subduction zone / Continental crust (>25 km)",2,2
283260,"Akita-Yakeyama","Japan",1366,"Subduction zone / Continental crust (>25 km)",16,16
283262,"Megata","Japan",160,"Subduction zone / Continental crust (>25 km)",2,2
283270,"Iwakisan","Japan",1625,"Subduction zone / Continental crust (>25 km)",13,13
283271,"Towada","Japan",1011,"Subduction zone / Continental crust (>25 km)",8,8
283280,"Hakkodasan","Japan",1585,"Subduction zone / Continental crust (>25 km)",7,7
283290,"Osorezan","Japan",878,"Subduction zone / Continental crust (>25 km)",1,1
284010,"Izu-Oshima","Japan",746,"Subduction zone / Oceanic crust (< 15 km)",99,99
284011,"Toshima","Japan",508,"Subduction zone / Oceanic crust (< 15 km)",1,1
284020,"Niijima","Japan",432,"Subduction zone / Oceanic crust (< 15 km)",5,5
284030,"Kozushima","Japan",572,"Subduction zone / Oceanic crust (< 15 km)",4,4
284040,"Miyakejima","Japan",775,"Subduction zone / Oceanic crust (< 15 km)",39,39
284041,"Mikurajima","Japan",851,"Subduction zone / Oceanic crust (< 15 km)",2,2
284042,"Kurose Hole","Japan",-114,"Subduction zone / Oceanic crust (< 15 km)",0,0
284050,"Hachijojima","Japan",854,"Subduction zone / Oceanic crust (< 15 km)",18,18
284060,"Aogashima","Japan",423,"Subduction zone / Oceanic crust (< 15 km)",7,7
