"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
344092,"Nejapa-Miraflores","Nicaragua",360,"Subduction zone / Continental crust (>25 km)",8,8
344100,"Masaya","Nicaragua",594,"Subduction zone / Continental crust (>25 km)",36,36
344101,"Granada","Nicaragua",250,"Subduction zone / Continental crust (>25 km)",0,0
344110,"Mombacho","Nicaragua",1344,"Subduction zone / Continental crust (>25 km)",0,0
344111,"Zapatera","Nicaragua",629,"Subduction zone / Continental crust (>25 km)",0,0
344120,"Concepcion","Nicaragua",1700,"Subduction zone / Continental crust (>25 km)",33,33
345010,"Orosi","Costa Rica",1659,"Subduction zone / Continental crust (>25 km)",0,0
345020,"Rincon de la Vieja","Costa Rica",1916,"Subduction zone / Continental crust (>25 km)",30,30
345030,"Miravalles","Costa Rica",2028,"Subduction zone / Continental crust (>25 km)",2,2
345031,"Tenorio","Costa Rica",1916,"Subduction zone / Continental crust (>25 km)",0,0
345033,"Arenal","Costa Rica",1670,"Subduction zone / Continental crust (>25 km)",27,27
345034,"Platanar","Costa Rica",2267,"Subduction zone / Continental crust (>25 km)",0,0
345040,"Poas","Costa Rica",2697,"Subduction zone / Continental crust (>25 km)",63,63
345050,"Barva","Costa Rica",2906,"Subduction zone / Continental crust (>25 km)",1,1
345060,"Irazu","Costa Rica",3436,"Subduction zone / Continental crust (>25 km)",24,24
345070,"Turrialba","Costa Rica",3340,"Subduction zone / Continental crust (>25 km)",21,21
346010,"Baru","Panama",3474,"Subduction zone / Continental crust (>25 km)",8,8
351011,"Romeral","Colombia",3769,"Subduction zone / Continental crust (>25 km)",2,2
351012,"Bravo, Cerro","Colombia",3985,"Subduction zone / Continental crust (>25 km)",8,8
351020,"Ruiz, Nevado del","Colombia",5279,"Subduction zone / Continental crust (>25 km)",20,20
351021,"Santa Isabel","Colombia",4944,"Subduction zone / Continental crust (>25 km)",4,4
351030,"Tolima, Nevado del","Colombia",5215,"Subduction zone / Continental crust (>25 km)",12,12
351040,"Machin","Colombia",2749,"Subduction zone / Continental crust (>25 km)",7,7
351050,"Huila, Nevado del","Colombia",5364,"Subduction zone / Continental crust (>25 km)",4,4
351060,"Purace","Colombia",4650,"Subduction zone / Continental crust (>25 km)",28,28
351061,"Sotara","Colombia",4400,"Subduction zone / Continental crust (>25 km)",0,0
351070,"Dona Juana","Colombia",4137,"Subduction zone / Continental crust (>25 km)",2,2
351080,"Galeras","Colombia",4276,"Subduction zone / Continental crust (>25 km)",36,36
351090,"Azufral","Colombia",4070,"Subduction zone / Continental crust (>25 km)",4,4
351100,"Cumbal","Colombia",4764,"Subduction zone / Continental crust (>25 km)",2,2
351110,"Chiles-Cerro Negro","Colombia-Ecuador",4698,"Subduction zone / Continental crust (>25 km)",1,1
352001,"Soche","Ecuador",3955,"Subduction zone / Continental crust (>25 km)",1,1
352002,"Chachimbiro","Ecuador",4106,"Subduction zone / Continental crust (>25 km)",1,1
352003,"Cuicocha","Ecuador",3246,"Subduction zone / Continental crust (>25 km)",4,4
352004,"Imbabura","Ecuador",4609,"Subduction zone / Continental crust (>25 km)",1,1
352005,"Mojanda","Ecuador",4263,"Subduction zone / Continental crust (>25 km)",0,0
352006,"Cayambe","Ecuador",5790,"Subduction zone / Continental crust (>25 km)",22,22
352010,"Reventador","Ecuador",3562,"Subduction zone / Continental crust (>25 km)",26,26
352011,"Pululahua","Ecuador",3360,"Subduction zone / Continental crust (>25 km)",4,4
352020,"Guagua Pichincha","Ecuador",4784,"Subduction zone / Continental crust (>25 km)",33,33
352021,"Atacazo","Ecuador",4463,"Subduction zone / Continental crust (>25 km)",4,4
352022,"Chacana","Ecuador",4643,"Subduction zone / Continental crust (>25 km)",5,5
352030,"Antisana","Ecuador",5753,"Subduction zone / Continental crust (>25 km)",2,2
352031,"Aliso","Ecuador",4267,"Subduction zone / Continental crust (>25 km)",1,1
352040,"Sumaco","Ecuador",3990,"Subduction zone / Continental crust (>25 km)",1,1
352041,"Iliniza","Ecuador",5162,"Subduction zone / Continental crust (>25 km)",0,0
352050,"Cotopaxi","Ecuador",5911,"Subduction zone / Continental crust (>25 km)",85,85
352060,"Quilotoa","Ecuador",3914,"Subduction zone / Continental crust (>25 km)",1,1
352071,"Chimborazo","Ecuador",6261,"Subduction zone / Continental crust (>25 km)",6,6
352080,"Tungurahua","Ecuador",5023,"Subduction zone / Continental crust (>25 km)",31,31
352081,"Licto","Ecuador",3322,"Subduction zone / Continental crust (>25 km)",0,0
352090,"Sangay","Ecuador",5286,"Subduction zone / Continental crust (>25 km)",11,11
353010,"Fernandina","Ecuador",1476,"Rift zone / Oceanic crust (< 15 km)",33,33
353011,"Ecuador","Ecuador",790,"Rift zone / Oceanic crust (< 15 km)",1,1
353020,"Wolf","Ecuador",1710,"Rift zone / Oceanic crust (< 15 km)",16,16
353030,"Darwin","Ecuador",1330,"Rift zone / Oceanic crust (< 15 km)",3,3
353040,"Alcedo","Ecuador",1130,"Rift zone / Oceanic crust (< 15 km)",2,2
353050,"Negra, Sierra","Ecuador",1124,"Rift zone / Oceanic crust (< 15 km)",18,18
353060,"Azul, Cerro","Ecuador",1640,"Rift zone / Oceanic crust (< 15 km)",14,14
353070,"Pinta","Ecuador",780,"Rift zone / Oceanic crust (< 15 km)",1,1
353080,"Marchena","Ecuador",343,"Rift zone / Oceanic crust (< 15 km)",1,1
353081,"Genovesa","Ecuador",64,"Rift zone / Oceanic crust (< 15 km)",0,0
353090,"Santiago","Ecuador",920,"Rift zone / Oceanic crust (< 15 km)",3,3
353091,"Santa Cruz","Ecuador",864,"Rift zone / Oceanic crust (< 15 km)",0,0
353120,"San Cristobal","Ecuador",759,"Rift zone / Oceanic crust (< 15 km)",0,0
354000,"Quimsachata-Oroscocha","Peru",3848,"Subduction zone / Continental crust (>25 km)",1,1
354001,"Auquihuato, Cerro","Peru",5001,"Subduction zone / Continental crust (>25 km)",0,0
354003,"Coropuna","Peru",6377,"Subduction zone / Continental crust (>25 km)",0,0
354004,"Andahua-Orcopampa","Peru",4713,"Subduction zone / Continental crust (>25 km)",3,3
354005,"Huambo","Peru",4554,"Subduction zone / Continental crust (>25 km)",1,1
354006,"Sabancaya","Peru",5960,"Subduction zone / Continental crust (>25 km)",11,11
354010,"Misti, El","Peru",5793,"Subduction zone / Continental crust (>25 km)",15,15
354020,"Ubinas","Peru",5608,"Subduction zone / Continental crust (>25 km)",25,25
354030,"Huaynaputina","Peru",4679,"Subduction zone / Continental crust (>25 km)",2,2
354031,"Ticsani","Peru",5382,"Subduction zone / Continental crust (>25 km)",1,1
354040,"Tutupaca","Peru",5801,"Subduction zone / Continental crust (>25 km)",2,2
354050,"Yucamane","Peru",5495,"Subduction zone / Continental crust (>25 km)",1,1
354060,"Casiri, Nevados","Peru",5626,"Subduction zone / Continental crust (>25 km)",0,0
355011,"Taapaca","Chile",5860,"Subduction zone / Continental crust (>25 km)",8,8
355012,"Parinacota","Chile-Bolivia",6336,"Subduction zone / Continental crust (>25 km)",6,6
355020,"Guallatiri","Chile",6071,"Subduction zone / Continental crust (>25 km)",4,4
355030,"Isluga","Chile",5550,"Subduction zone / Continental crust (>25 km)",7,7
355032,"Tata Sabaya","Bolivia",5430,"Subduction zone / Continental crust (>25 km)",0,0
355040,"Irruputuncu","Chile-Bolivia",5163,"Subduction zone / Continental crust (>25 km)",1,1
355050,"Olca-Paruma","Chile-Bolivia",5705,"Subduction zone / Continental crust (>25 km)",0,0
355090,"Putana","Chile",5884,"Subduction zone / Continental crust (>25 km)",1,1
355091,"Sairecabur","Chile-Bolivia",5961,"Subduction zone / Continental crust (>25 km)",0,0
355092,"Licancabur","Chile-Bolivia",5916,"Subduction zone / Continental crust (>25 km)",0,0
355093,"Guayaques","Chile-Bolivia",5598,"Subduction zone / Continental crust (>25 km)",0,0
355094,"Purico Complex","Chile",5703,"Subduction zone / Continental crust (>25 km)",0,0
355095,"Colachi","Chile",5631,"Subduction zone / Continental crust (>25 km)",0,0
355096,"Acamarachi","Chile",6023,"Subduction zone / Continental crust (>25 km)",0,0
355098,"Chiliques","Chile",5778,"Subduction zone / Continental crust (>25 km)",0,0
355100,"Lascar","Chile",5592,"Subduction zone / Continental crust (>25 km)",32,32
355101,"Cordon de Puntas Negras","Chile",5852,"Subduction zone / Continental crust (>25 km)",0,0
355102,"Miniques","Chile",5910,"Subduction zone / Continental crust (>25 km)",0,0
355103,"Tujle, Cerro","Chile",3550,"Subduction zone / Continental crust (>25 km)",0,0
355104,"Caichinque","Chile",4458,"Subduction zone / Continental crust (>25 km)",0,0
355105,"Tilocalar","Chile",3109,"Subduction zone / Continental crust (>25 km)",0,0
355107,"Pular","Chile",6233,"Subduction zone / Continental crust (>25 km)",0,0
355108,"Negrillar, La","Chile",4220,"Subduction zone / Continental crust (>25 km)",0,0
355109,"Socompa","Chile-Argentina",6031,"Subduction zone / Continental crust (>25 km)",1,1
355110,"Llullaillaco","Chile-Argentina",6739,"Subduction zone / Continental crust (>25 km)",3,3
355112,"Corrida de Cori Volcanic Field","Chile-Argentina",5451,"Subduction zone / Continental crust (>25 km)",0,0
355120,"Lastarria","Chile-Argentina",5706,"Subduction zone / Continental crust (>25 km)",0,0
355121,"Cordon del Azufre","Chile-Argentina",5481,"Subduction zone / Continental crust (>25 km)",0,0
355122,"Bayo Gorbea, Cerro","Chile-Argentina",5413,"Subduction zone / Continental crust (>25 km)",0,0
355123,"Nevada, Sierra","Chile-Argentina",6173,"Subduction zone / Continental crust (>25 km)",0,0
355124,"Falso Azufre","Chile-Argentina",5906,"Subduction zone / Continental crust (>25 km)",0,0
355125,"Incahuasi, Nevado de","Chile-Argentina",6638,"Subduction zone / Continental crust (>25 km)",0,0
355130,"Ojos del Salado, Nevados","Chile-Argentina",6879,"Subduction zone / Continental crust (>25 km)",1,1
355131,"Solo, El","Chile-Argentina",6205,"Subduction zone / Continental crust (>25 km)",0,0
355160,"Aracar","Argentina",6095,"Subduction zone / Continental crust (>25 km)",0,0
355161,"Unnamed","Argentina",4652,"Subduction zone / Continental crust (>25 km)",0,0
355190,"Condor, El","Argentina",6373,"Subduction zone / Continental crust (>25 km)",0,0
355200,"Peinado","Argentina",5741,"Subduction zone / Continental crust (>25 km)",0,0
355210,"Blanco, Cerro","Argentina",4670,"Subduction zone / Continental crust (>25 km)",1,1
355220,"Tipas","Argentina",6658,"Subduction zone / Continental crust (>25 km)",0,0
356011,"Rapa Nui","Chile",501,"Rift zone / Oceanic crust (< 15 km)",0,0
357010,"Tupungatito","Chile-Argentina",5660,"Subduction zone / Continental crust (>25 km)",18,18
357020,"San Jose","Chile-Argentina",6070,"Subduction zone / Continental crust (>25 km)",7,7
357021,"Maipo","Chile-Argentina",5323,"Subduction zone / Continental crust (>25 km)",4,4
357022,"Palomo","Chile",4860,"Subduction zone / Continental crust (>25 km)",0,0
357023,"Atuel, Caldera del","Argentina",5189,"Subduction zone / Continental crust (>25 km)",0,0
357024,"Risco Plateado","Argentina",4999,"Subduction zone / Continental crust (>25 km)",0,0
357030,"Tinguiririca","Chile",4280,"Subduction zone / Continental crust (>25 km)",1,1
357040,"Planchon-Peteroa","Chile",3977,"Subduction zone / Continental crust (>25 km)",20,20
357041,"Infiernillo","Argentina",3007,"Intraplate / Continental crust (>25 km)",1,1
357042,"Calabozos","Chile",3508,"Subduction zone / Continental crust (>25 km)",0,0
357050,"Descabezado Grande","Chile",3953,"Subduction zone / Continental crust (>25 km)",1,1
357060,"Azul, Cerro","Chile",3788,"Subduction zone / Continental crust (>25 km)",9,9
357061,"Maule, Laguna del","Chile",2162,"Subduction zone / Continental crust (>25 km)",4,4
357062,"San Pedro-Pellado","Chile",3621,"Subduction zone / Continental crust (>25 km)",0,0
357063,"Longavi, Nevado de","Chile",3175,"Subduction zone / Continental crust (>25 km)",1,1
357064,"Blancas, Lomas","Chile",2268,"Subduction zone / Continental crust (>25 km)",0,0
357065,"Resago, Volcan","Chile",1890,"Subduction zone / Continental crust (>25 km)",0,0
357066,"Payun Matru","Argentina",3715,"Subduction zone / Continental crust (>25 km)",1,1
357070,"Chillan, Nevados de","Chile",3180,"Subduction zone / Continental crust (>25 km)",26,26
357072,"Tromen Volcanic Plateau","Argentina",4114,"Subduction zone / Continental crust (>25 km)",2,2
357080,"Antuco","Chile",2979,"Subduction zone / Continental crust (>25 km)",11,11
357090,"Copahue","Chile-Argentina",2953,"Subduction zone / Continental crust (>25 km)",21,21
357091,"Callaqui","Chile",3164,"Subduction zone / Continental crust (>25 km)",2,2
357093,"Tolhuaca","Chile",2739,"Subduction zone / Continental crust (>25 km)",4,4
357100,"Lonquimay","Chile",2832,"Subduction zone / Continental crust (>25 km)",4,4
357102,"Blanca, Laguna","Argentina",1700,"Intraplate / Continental crust (>25 km)",0,0
357110,"Llaima","Chile",3125,"Subduction zone / Continental crust (>25 km)",56,56
357111,"Sollipulli","Chile",2282,"Subduction zone / Continental crust (>25 km)",2,2
357112,"Caburgua-Huelemolle","Chile",1652,"Subduction zone / Continental crust (>25 km)",1,1
357120,"Villarrica","Chile",2847,"Subduction zone / Continental crust (>25 km)",152,152
357121,"Quetrupillan","Chile",2360,"Subduction zone / Continental crust (>25 km)",4,4
357122,"Lanin","Chile-Argentina",3776,"Subduction zone / Continental crust (>25 km)",8,8
357123,"Huanquihue Group","Argentina",2189,"Subduction zone / Continental crust (>25 km)",1,1
357130,"Mocho-Choshuenco","Chile",2422,"Subduction zone / Continental crust (>25 km)",2,2
357140,"Carran-Los Venados","Chile",1114,"Subduction zone / Continental crust (>25 km)",3,3
357150,"Puyehue-Cordon Caulle","Chile",2236,"Subduction zone / Continental crust (>25 km)",26,26
357153,"Antillanca Volcanic Complex","Chile",1979,"Subduction zone / Continental crust (>25 km)",2,2
357160,"Puntiagudo-Cordon Cenizos","Chile",2493,"Subduction zone / Continental crust (>25 km)",1,1
358010,"Osorno","Chile",2659,"Subduction zone / Continental crust (>25 km)",17,17
358011,"Tronador","Chile-Argentina",3478,"Subduction zone / Continental crust (>25 km)",0,0
358012,"Cayutue-La Vigueria","Chile",506,"Subduction zone / Continental crust (>25 km)",1,1
358020,"Calbuco","Chile",1974,"Subduction zone / Continental crust (>25 km)",36,36
358022,"Yate","Chile",2187,"Subduction zone / Continental crust (>25 km)",1,1
358023,"Hornopiren","Chile",1572,"Subduction zone / Continental crust (>25 km)",2,2
358024,"Apagado","Chile",1210,"Subduction zone / Continental crust (>25 km)",1,1
358025,"Crater Basalt Volcanic Field","Argentina",1344,"Intraplate / Continental crust (>25 km)",0,0
358030,"Huequi","Chile",1318,"Subduction zone / Continental crust (>25 km)",7,7
358040,"Michinmahuida","Chile",2452,"Subduction zone / Continental crust (>25 km)",7,7
358041,"Chaiten","Chile",1122,"Subduction zone / Continental crust (>25 km)",5,5
358049,"Yanteles","Chile",1790,"Subduction zone / Continental crust (>25 km)",2,2
358050,"Corcovado","Chile",1826,"Subduction zone / Continental crust (>25 km)",3,3
358052,"Melimoyu","Chile",2400,"Subduction zone / Continental crust (>25 km)",2,2
358053,"Puyuhuapi","Chile",524,"Subduction zone / Continental crust (>25 km)",0,0
358054,"Mentolat","Chile",1660,"Subduction zone / Continental crust (>25 km)",2,2
358055,"Cay","Chile",2090,"Subduction zone / Continental crust (>25 km)",0,0
358056,"Maca","Chile",2960,"Subduction zone / Continental crust (>25 km)",2,2
358057,"Hudson, Cerro","Chile",1905,"Subduction zone / Continental crust (>25 km)",15,15
358060,"Lautaro","Chile",3542,"Subduction zone / Continental crust (>25 km)",9,9
358062,"Aguilera","Chile",2546,"Subduction zone / Continental crust (>25 km)",2,2
358063,"Reclus","Chile",1403,"Subduction zone / Continental crust (>25 km)",4,4
358064,"Meullin","Chile",1080,"Subduction zone / Continental crust (>25 km)",0,0
358070,"Burney, Monte","Chile",1758,"Subduction zone / Continental crust (>25 km)",7,7
358080,"Pali-Aike Volcanic Field","Chile-Argentina",282,"Subduction zone / Continental crust (>25 km)",1,1
358090,"Fueguino","Chile",157,"Subduction zone / Continental crust (>25 km)",1,1
360010,"Saba","Netherlands",887,"Subduction zone / Oceanic crust (< 15 km)",1,1
360020,"Quill, The","Netherlands",601,"Subduction zone / Oceanic crust (< 15 km)",3,3
360030,"Liamuiga","Saint Kitts and Nevis",1156,"Subduction zone / Oceanic crust (< 15 km)",3,3
360040,"Nevis Peak","Saint Kitts and Nevis",985,"Subduction zone / Oceanic crust (< 15 km)",0,0
360050,"Soufriere Hills","United Kingdom",915,"Subduction zone / Oceanic crust (< 15 km)",9,9
360060,"Soufriere Guadeloupe","France",1467,"Subduction zone / Oceanic crust (< 15 km)",16,16
360080,"Diables, Morne aux","Dominica",861,"Subduction zone / Oceanic crust (< 15 km)",0,0
360090,"Diablotins, Morne","Dominica",1430,"Subduction zone / Oceanic crust (< 15 km)",0,0
360100,"Trois Pitons, Morne","Dominica",1387,"Subduction zone / Oceanic crust (< 15 km)",2,2
360101,"Watt, Morne","Dominica",1224,"Subduction zone / Oceanic crust (< 15 km)",5,5
360110,"Plat Pays, Morne","Dominica",940,"Subduction zone / Oceanic crust (< 15 km)",4,4
360120,"Pelee","France",1372,"Subduction zone / Oceanic crust (< 15 km)",54,54
360140,"Qualibou","Saint Lucia",777,"Subduction zone / Oceanic crust (< 15 km)",1,1
360150,"Soufriere St. Vincent","Saint Vincent and the Grenadines",1220,"Subduction zone / Oceanic crust (< 15 km)",22,22
360160,"Kick 'em Jenny","Grenada",-185,"Subduction zone / Oceanic crust (< 15 km)",15,15
360170,"St. Catherine","Grenada",840,"Subduction zone / Oceanic crust (< 15 km)",0,0
370010,"Snaefellsjokull","Iceland",1446,"Rift zone / Oceanic crust (< 15 km)",10,10
370020,"Helgrindur","Iceland",986,"Rift zone / Oceanic crust (< 15 km)",0,0
370030,"Ljosufjoll","Iceland",1063,"Rift zone / Oceanic crust (< 15 km)",5,5
371020,"Reykjanes","Iceland",140,"Rift zone / Oceanic crust (< 15 km)",21,21
371022,"Eldey","Iceland",70,"Rift zone / Oceanic crust (< 15 km)",5,5
371030,"Krysuvik-Trolladyngja","Iceland",360,"Rift zone / Oceanic crust (< 15 km)",11,11
371032,"Fagradalsfjall","Iceland",250,"Rift zone / Oceanic crust (< 15 km)",3,3
371040,"Brennisteinsfjoll","Iceland",610,"Rift zone / Oceanic crust (< 15 km)",9,9
371050,"Hengill","Iceland",803,"Rift zone / Oceanic crust (< 15 km)",13,13
371051,"Hromundartindur","Iceland",550,"Rift zone / Oceanic crust (< 15 km)",0,0
371060,"Grimsnes","Iceland",200,"Rift zone / Oceanic crust (< 15 km)",11,11
371070,"Prestahnukur","Iceland",1385,"Rift zone / Oceanic crust (< 15 km)",3,3
371080,"Oddnyjarhnjukur-Langjokull","Iceland",1100,"Rift zone / Oceanic crust (< 15 km)",6,6
371090,"Hofsjokull","Iceland",1765,"Rift zone / Oceanic crust (< 15 km)",0,0
372010,"Vestmannaeyjar","Iceland",283,"Rift zone / Oceanic crust (< 15 km)",10,10
372020,"Eyjafjallajokull","Iceland",1651,"Rift zone / Oceanic crust (< 15 km)",5,5
372030,"Katla","Iceland",1490,"Rift zone / Oceanic crust (< 15 km)",128,128
372040,"Tindfjallajokull","Iceland",1464,"Rift zone / Oceanic crust (< 15 km)",0,0
372050,"Torfajokull","Iceland",1280,"Rift zone / Oceanic crust (< 15 km)",10,10
372070,"Hekla","Iceland",1490,"Rift zone / Oceanic crust (< 15 km)",65,65
373010,"Grimsvotn","Iceland",1719,"Rift zone / Oceanic crust (< 15 km)",76,76
373012,"Thordarhyrna","Iceland",1650,"Rift zone / Oceanic crust (< 15 km)",3,3
373030,"Bardarbunga","Iceland",2000,"Rift zone / Oceanic crust (< 15 km)",44,44
373040,"Tungnafellsjokull","Iceland",1523,"Rift zone / Oceanic crust (< 15 km)",0,0
373050,"Kverkfjoll","Iceland",1930,"Rift zone / Oceanic crust (< 15 km)",8,8
373060,"Askja","Iceland",1080,"Rift zone / Oceanic crust (< 15 km)",14,14
373070,"Fremrinamar","Iceland",970,"Rift zone / Oceanic crust (< 15 km)",4,4
373080,"Krafla","Iceland",800,"Rift zone / Oceanic crust (< 15 km)",23,23
373082,"Heidarspordar","Iceland",490,"Rift zone / Oceanic crust (< 15 km)",7,7
373090,"Theistareykir","Iceland",563,"Rift zone / Oceanic crust (< 15 km)",3,3
373100,"Tjornes Fracture Zone","Iceland",-75,"Rift zone / Oceanic crust (< 15 km)",1,1
374010,"Oraefajokull","Iceland",2010,"Rift zone / Oceanic crust (< 15 km)",2,2
374020,"Esjufjoll","Iceland",1620,"Rift zone / Oceanic crust (< 15 km)",0,0
374801,"Snaefell","Iceland",1833,"Rift zone / Oceanic crust (< 15 km)",0,0
375010,"Kolbeinsey Ridge","Iceland",5,"Rift zone / Oceanic crust (< 15 km)",2,2
376010,"Jan Mayen","Norway",2197,"Rift zone / Oceanic crust (< 15 km)",7,7
377020,"East Gakkel Ridge at 85°E","Undersea Features",-3800,"Rift zone / Oceanic crust (< 15 km)",1,1
381040,"Pico Fracture Zone","Undersea Features",-4200,"Intraplate / Oceanic crust (< 15 km)",1,1
382001,"Flores","Portugal",914,"Intraplate / Continental crust (>25 km)",2,2
382010,"Fayal","Portugal",1041,"Rift zone / Oceanic crust (< 15 km)",2,2
382020,"Pico","Portugal",2351,"Rift zone / Oceanic crust (< 15 km)",3,3
382030,"Sao Jorge","Portugal",1053,"Rift zone / Oceanic crust (< 15 km)",10,10
382040,"Graciosa","Portugal",402,"Rift zone / Oceanic crust (< 15 km)",1,1
382050,"Terceira","Portugal",1023,"Rift zone / Oceanic crust (< 15 km)",15,15
382070,"Don Joao de Castro Bank","Portugal",-13,"Rift zone / Oceanic crust (< 15 km)",1,1
382080,"Sete Cidades","Portugal",842,"Rift zone / Oceanic crust (< 15 km)",16,16
382081,"Picos Fissural Volcanic System","Portugal",350,"Rift zone / Oceanic crust (< 15 km)",7,7
382090,"Agua de Pau","Portugal",947,"Rift zone / Oceanic crust (< 15 km)",10,10
382100,"Furnas","Portugal",805,"Rift zone / Oceanic crust (< 15 km)",9,9
382110,"Monaco Bank","Portugal",-197,"Rift zone / Oceanic crust (< 15 km)",2,2
382120,"Madeira","Portugal",1862,"Intraplate / Oceanic crust (< 15 km)",1,1
383010,"La Palma","Spain",2426,"Intraplate / Oceanic crust (< 15 km)",14,14
383020,"Hierro","Spain",1500,"Intraplate / Oceanic crust (< 15 km)",4,4
383030,"Tenerife","Spain",3715,"Intraplate / Oceanic crust (< 15 km)",42,42
383040,"Gran Canaria","Spain",1950,"Intraplate / Intermediate crust (15-25 km)",11,11
383050,"Fuerteventura","Spain",529,"Intraplate / Intermediate crust (15-25 km)",0,0
383060,"Lanzarote","Spain",670,"Intraplate / Intermediate crust (15-25 km)",4,4
384010,"Fogo","Cabo Verde",2829,"Intraplate / Intermediate crust (15-25 km)",12,12
384020,"Brava","Cabo Verde",956,"Intraplate / Intermediate crust (15-25 km)",0,0
385030,"Romanche Fracture Zone","Undersea Features",-1528,"Rift zone / Oceanic crust (< 15 km)",0,0
385050,"Ascension","United Kingdom",822,"Rift zone / Oceanic crust (< 15 km)",3,3
385052,"Walvis Ridge at 33°S","Undersea Features",-1200,"Intraplate / Oceanic crust (< 15 km)",1,1
386010,"Tristan da Cunha","United Kingdom",2060,"Rift zone / Oceanic crust (< 15 km)",2,2
386011,"Nightingale Island","United Kingdom",365,"Rift zone / Oceanic crust (< 15 km)",1,1
386020,"Bouvet","Norway",741,"Rift zone / Oceanic crust (< 15 km)",1,1
390010,"Buckle Island","Antarctica",1239,"Rift zone / Oceanic crust (< 15 km)",2,2
390011,"Young Island","Antarctica",1340,"Rift zone / Oceanic crust (< 15 km)",0,0
390012,"Sturge Island","Antarctica",1167,"Rift zone / Oceanic crust (< 15 km)",0,0
390013,"Pleiades, The","Antarctica",3040,"Intraplate / Continental crust (>25 km)",1,1
390015,"Melbourne","Antarctica",2732,"Intraplate / Continental crust (>25 km)",1,1
390016,"Unnamed","Antarctica",-500,"Intraplate / Continental crust (>25 km)",0,0
390017,"Morning","Antarctica",2723,"Intraplate / Continental crust (>25 km)",0,0
390020,"Erebus","Antarctica",3794,"Intraplate / Continental crust (>25 km)",20,20
390021,"Royal Society Range","Antarctica",3000,"Intraplate / Continental crust (>25 km)",0,0
390022,"Berlin","Antarctica",3478,"Intraplate / Continental crust (>25 km)",1,1
390023,"Andrus","Antarctica",2978,"Intraplate / Continental crust (>25 km)",0,0
390027,"Takahe","Antarctica",3460,"Intraplate / Continental crust (>25 km)",3,3
390028,"Hudson Mountains","Antarctica",749,"Intraplate / Continental crust (>25 km)",1,1
390030,"Deception Island","Antarctica",602,"Intraplate / Continental crust (>25 km)",24,24
390031,"Penguin Island","Antarctica",180,"Intraplate / Continental crust (>25 km)",3,3
390040,"Bridgeman Island","Antarctica",240,"Intraplate / Continental crust (>25 km)",0,0
390041,"Paulet","Antarctica",353,"Intraplate / Continental crust (>25 km)",0,0
390070,"Southern Thule","United Kingdom",1075,"Subduction zone / Oceanic crust (< 15 km)",1,1
390080,"Bristol Island","United Kingdom",1100,"Subduction zone / Oceanic crust (< 15 km)",6,6
390081,"Montagu Island","United Kingdom",1370,"Subduction zone / Oceanic crust (< 15 km)",1,1
390090,"Saunders","United Kingdom",843,"Subduction zone / Oceanic crust (< 15 km)",7,7
390100,"Candlemas Island","United Kingdom",550,"Subduction zone / Oceanic crust (< 15 km)",3,3
390110,"Hodson","United Kingdom",835,"Subduction zone / Oceanic crust (< 15 km)",0,0
390120,"Leskov Island","United Kingdom",190,"Subduction zone / Oceanic crust (< 15 km)",0,0
390130,"Zavodovski","United Kingdom",551,"Subduction zone / Oceanic crust (< 15 km)",2,2
390140,"Protector Seamounts","United Kingdom",-55,"Subduction zone / Oceanic crust (< 15 km)",1,1
390829,"Mount Haddington Volcanic Field","Antarctica",1544,"Intraplate / Continental crust (>25 km)",0,0
390847,"Melville","Antarctica",549,"Intraplate / Continental crust (>25 km)",0,0
